domain,variant,scheme,status,server,via,x_powered_by,cdn_hint,app_hint
scholar.google.com,apex,https,200,scholar,,,,
scholar.google.com,apex,http,302,scholar,,,,
scholar.google.com,www,https,301,scholar,,,,
scholar.google.com,www,http,302,scholar,,,,
github.com,apex,https,200,github.com,,,,
github.com,apex,http,301,github.com,,,,
github.com,www,https,301,github.com,,,,
github.com,www,http,301,github.com,,,,
stackoverflow.com,apex,https,302,cloudflare,,,Cloudflare,cloudflare
stackoverflow.com,apex,http,301,cloudflare,,,Cloudflare,cloudflare
stackoverflow.com,www,https,302,cloudflare,,,Cloudflare,cloudflare
stackoverflow.com,www,http,302,cloudflare,,,Cloudflare,cloudflare
colab.research.google.com,apex,https,405,TornadoServer/6.5.1,,,,
colab.research.google.com,apex,http,301,TornadoServer/6.5.1,,,,
colab.research.google.com,www,https,0,,,,,
colab.research.google.com,www,http,0,,,,,
kaggle.com,apex,https,404,,,,,
kaggle.com,apex,http,404,,,,,
kaggle.com,www,https,404,,,,,
kaggle.com,www,http,404,,,,,
overleaf.com,apex,https,308,nginx,1.1 google,,,nginx
overleaf.com,apex,http,308,nginx,1.1 google,,,nginx
overleaf.com,www,https,200,nginx,1.1 google,,,nginx
overleaf.com,www,http,308,nginx,1.1 google,,,nginx
regex101.com,apex,https,200,nginx,,,,nginx
regex101.com,apex,http,301,nginx,,,,nginx
regex101.com,www,https,301,nginx,,,,nginx
regex101.com,www,http,301,nginx,,,,nginx
diagrams.net,apex,https,301,cloudflare,,,Cloudflare,cloudflare
diagrams.net,apex,http,301,cloudflare,,,Cloudflare,cloudflare
diagrams.net,www,https,301,cloudflare,,,Cloudflare,cloudflare
diagrams.net,www,http,301,cloudflare,,,Cloudflare,cloudflare
codepen.io,apex,https,403,cloudflare,,,Cloudflare,cloudflare
codepen.io,apex,http,403,cloudflare,,,Cloudflare,cloudflare
codepen.io,www,https,301,cloudflare,,,Cloudflare,cloudflare
codepen.io,www,http,301,cloudflare,,,Cloudflare,cloudflare
