canva.com,cloudflare,Cloudflare,www http 301 cloudflare
chatgpt.com,cloudflare,Cloudflare,www http 301 cloudflare
cool.ntu.edu.tw,apache,-,www http 0 
domain,server_guess,cdn_hint,examples
google.com,google_gws,Google,www http 200 gws
hackmd.io,-,-,www http 301 awselb/2.0
ilovepdf.com,cloudflare,Cloudflare,www http 301 cloudflare
notion.so,cloudflare,Cloudflare,www http 301 cloudflare
onlinegdb.com,cloudflare,Cloudflare,www http 302 cloudflare
pdogs.ntu.im,nginx,-,www http 404 nginx/1.24.0 (Ubuntu)
youtube.com,-,-,www http 301 ESF
