domain,variant,record,ips,cname_chain,whois_orgs,whois_countries,cdn_guess
scholar.google.com,apex,A,scholar.l.google.com;142.250.77.4,scholar.l.google.com,Google LLC (GOGL),US,Google
scholar.google.com,www,A,scholar.google.com;scholar.l.google.com;142.250.77.4,scholar.google.com -> scholar.l.google.com,Google LLC (GOGL),US,Google
github.com,apex,A,20.27.177.113,-,Microsoft Corporation (MSFT),US,Azure_or_Microsoft
github.com,www,A,github.com;20.27.177.113,github.com,Microsoft Corporation (MSFT),US,Azure_or_Microsoft
stackoverflow.com,apex,A,172.64.155.249;104.18.32.7,-,Cloudflare, Inc. (CLOUD14),US,Cloudflare
stackoverflow.com,www,A,172.64.155.249;104.18.32.7,-,Cloudflare, Inc. (CLOUD14),US,Cloudflare
colab.research.google.com,apex,A,colab-alv.research.google.com;216.239.38.180;216.239.32.180;216.239.36.180;216.239.34.180,colab-alv.research.google.com,Google LLC (GOGL),US,Google
colab.research.google.com,www,A,,-,,,Unknown
kaggle.com,apex,A,35.244.233.98,-,Google LLC (GOOGL-2),US,Google
kaggle.com,www,A,35.244.233.98,-,Google LLC (GOOGL-2),US,Google
overleaf.com,apex,A,34.120.52.64,-,Google LLC (GOOGL-2),US,Google
overleaf.com,www,A,lb2.overleaf.com;34.120.52.64,lb2.overleaf.com,Google LLC (GOOGL-2),US,Google
regex101.com,apex,A,78.47.220.195,-,CLOUD-NBG1,DE,Unknown
regex101.com,www,A,78.47.220.195,-,CLOUD-NBG1,DE,Unknown
diagrams.net,apex,A,104.18.4.247;104.18.5.247,-,Cloudflare, Inc. (CLOUD14),US,Cloudflare
diagrams.net,www,A,104.18.4.247;104.18.5.247,-,Cloudflare, Inc. (CLOUD14),US,Cloudflare
codepen.io,apex,A,104.16.147.32;104.16.163.32,-,Cloudflare, Inc. (CLOUD14),US,Cloudflare
codepen.io,www,A,104.16.147.32;104.16.163.32,-,Cloudflare, Inc. (CLOUD14),US,Cloudflare
