domain,trial,ips_ordered
scholar.google.com,1,142.250.66.68
scholar.google.com,2,142.250.66.68
scholar.google.com,3,142.250.66.68
scholar.google.com,4,142.250.66.68
scholar.google.com,5,142.250.66.68
scholar.google.com,6,142.250.66.68
scholar.google.com,7,142.250.66.68
scholar.google.com,8,142.250.66.68
scholar.google.com,9,142.250.66.68
scholar.google.com,10,142.250.66.68
scholar.google.com,11,142.250.66.68
scholar.google.com,12,142.250.66.68
scholar.google.com,13,142.250.66.68
scholar.google.com,14,142.250.66.68
scholar.google.com,15,142.250.66.68
scholar.google.com,16,142.250.66.68
scholar.google.com,17,142.250.66.68
scholar.google.com,18,142.250.66.68
scholar.google.com,19,142.250.66.68
scholar.google.com,20,142.250.66.68
github.com,1,20.27.177.113
github.com,2,20.27.177.113
github.com,3,20.27.177.113
github.com,4,20.27.177.113
github.com,5,20.27.177.113
github.com,6,20.27.177.113
github.com,7,20.27.177.113
github.com,8,20.27.177.113
github.com,9,20.27.177.113
github.com,10,20.27.177.113
github.com,11,20.27.177.113
github.com,12,20.27.177.113
github.com,13,20.27.177.113
github.com,14,20.27.177.113
github.com,15,20.27.177.113
github.com,16,20.27.177.113
github.com,17,20.27.177.113
github.com,18,20.27.177.113
github.com,19,20.27.177.113
github.com,20,20.27.177.113
stackoverflow.com,1,172.64.155.249;104.18.32.7
stackoverflow.com,2,104.18.32.7;172.64.155.249
stackoverflow.com,3,172.64.155.249;104.18.32.7
stackoverflow.com,4,172.64.155.249;104.18.32.7
stackoverflow.com,5,104.18.32.7;172.64.155.249
stackoverflow.com,6,104.18.32.7;172.64.155.249
stackoverflow.com,7,172.64.155.249;104.18.32.7
stackoverflow.com,8,104.18.32.7;172.64.155.249
stackoverflow.com,9,104.18.32.7;172.64.155.249
stackoverflow.com,10,172.64.155.249;104.18.32.7
stackoverflow.com,11,104.18.32.7;172.64.155.249
stackoverflow.com,12,104.18.32.7;172.64.155.249
stackoverflow.com,13,172.64.155.249;104.18.32.7
stackoverflow.com,14,172.64.155.249;104.18.32.7
stackoverflow.com,15,104.18.32.7;172.64.155.249
stackoverflow.com,16,104.18.32.7;172.64.155.249
stackoverflow.com,17,104.18.32.7;172.64.155.249
stackoverflow.com,18,104.18.32.7;172.64.155.249
stackoverflow.com,19,104.18.32.7;172.64.155.249
stackoverflow.com,20,104.18.32.7;172.64.155.249
colab.research.google.com,1,216.239.36.180;216.239.38.180;216.239.34.180;216.239.32.180
colab.research.google.com,2,216.239.36.180;216.239.34.180;216.239.38.180;216.239.32.180
colab.research.google.com,3,216.239.36.180;216.239.34.180;216.239.32.180;216.239.38.180
colab.research.google.com,4,216.239.38.180;216.239.32.180;216.239.34.180;216.239.36.180
colab.research.google.com,5,216.239.34.180;216.239.32.180;216.239.38.180;216.239.36.180
colab.research.google.com,6,216.239.34.180;216.239.38.180;216.239.32.180;216.239.36.180
colab.research.google.com,7,(no-answer)
colab.research.google.com,8,216.239.38.180;216.239.32.180;216.239.36.180;216.239.34.180
colab.research.google.com,9,216.239.34.180;216.239.36.180;216.239.32.180;216.239.38.180
colab.research.google.com,10,216.239.32.180;216.239.36.180;216.239.34.180;216.239.38.180
colab.research.google.com,11,(no-answer)
colab.research.google.com,12,216.239.32.180;216.239.36.180;216.239.34.180;216.239.38.180
colab.research.google.com,13,216.239.36.180;216.239.38.180;216.239.34.180;216.239.32.180
colab.research.google.com,14,216.239.32.180;216.239.34.180;216.239.38.180;216.239.36.180
colab.research.google.com,15,216.239.32.180;216.239.34.180;216.239.36.180;216.239.38.180
colab.research.google.com,16,216.239.38.180;216.239.34.180;216.239.36.180;216.239.32.180
colab.research.google.com,17,216.239.34.180;216.239.38.180;216.239.32.180;216.239.36.180
colab.research.google.com,18,216.239.32.180;216.239.38.180;216.239.36.180;216.239.34.180
colab.research.google.com,19,216.239.38.180;216.239.36.180;216.239.34.180;216.239.32.180
colab.research.google.com,20,216.239.38.180;216.239.36.180;216.239.32.180;216.239.34.180
kaggle.com,1,35.244.233.98
kaggle.com,2,35.244.233.98
kaggle.com,3,35.244.233.98
kaggle.com,4,35.244.233.98
kaggle.com,5,35.244.233.98
kaggle.com,6,35.244.233.98
kaggle.com,7,35.244.233.98
kaggle.com,8,35.244.233.98
kaggle.com,9,35.244.233.98
kaggle.com,10,35.244.233.98
kaggle.com,11,35.244.233.98
kaggle.com,12,35.244.233.98
kaggle.com,13,35.244.233.98
kaggle.com,14,35.244.233.98
kaggle.com,15,35.244.233.98
kaggle.com,16,35.244.233.98
kaggle.com,17,35.244.233.98
kaggle.com,18,35.244.233.98
kaggle.com,19,35.244.233.98
kaggle.com,20,35.244.233.98
overleaf.com,1,34.120.52.64
overleaf.com,2,34.120.52.64
overleaf.com,3,34.120.52.64
overleaf.com,4,34.120.52.64
overleaf.com,5,34.120.52.64
overleaf.com,6,34.120.52.64
overleaf.com,7,34.120.52.64
overleaf.com,8,34.120.52.64
overleaf.com,9,34.120.52.64
overleaf.com,10,34.120.52.64
overleaf.com,11,34.120.52.64
overleaf.com,12,34.120.52.64
overleaf.com,13,34.120.52.64
overleaf.com,14,34.120.52.64
overleaf.com,15,34.120.52.64
overleaf.com,16,34.120.52.64
overleaf.com,17,34.120.52.64
overleaf.com,18,34.120.52.64
overleaf.com,19,34.120.52.64
overleaf.com,20,34.120.52.64
regex101.com,1,78.47.220.195
regex101.com,2,78.47.220.195
regex101.com,3,78.47.220.195
regex101.com,4,78.47.220.195
regex101.com,5,78.47.220.195
regex101.com,6,78.47.220.195
regex101.com,7,78.47.220.195
regex101.com,8,78.47.220.195
regex101.com,9,78.47.220.195
regex101.com,10,78.47.220.195
regex101.com,11,78.47.220.195
regex101.com,12,78.47.220.195
regex101.com,13,78.47.220.195
regex101.com,14,78.47.220.195
regex101.com,15,78.47.220.195
regex101.com,16,78.47.220.195
regex101.com,17,78.47.220.195
regex101.com,18,78.47.220.195
regex101.com,19,78.47.220.195
regex101.com,20,78.47.220.195
diagrams.net,1,104.18.4.247;104.18.5.247
diagrams.net,2,104.18.5.247;104.18.4.247
diagrams.net,3,104.18.4.247;104.18.5.247
diagrams.net,4,104.18.4.247;104.18.5.247
diagrams.net,5,104.18.5.247;104.18.4.247
diagrams.net,6,104.18.5.247;104.18.4.247
diagrams.net,7,104.18.4.247;104.18.5.247
diagrams.net,8,104.18.4.247;104.18.5.247
diagrams.net,9,104.18.5.247;104.18.4.247
diagrams.net,10,104.18.4.247;104.18.5.247
diagrams.net,11,104.18.5.247;104.18.4.247
diagrams.net,12,104.18.4.247;104.18.5.247
diagrams.net,13,104.18.4.247;104.18.5.247
diagrams.net,14,104.18.5.247;104.18.4.247
diagrams.net,15,104.18.5.247;104.18.4.247
diagrams.net,16,104.18.5.247;104.18.4.247
diagrams.net,17,104.18.4.247;104.18.5.247
diagrams.net,18,104.18.4.247;104.18.5.247
diagrams.net,19,104.18.5.247;104.18.4.247
diagrams.net,20,104.18.5.247;104.18.4.247
codepen.io,1,104.16.147.32;104.16.163.32
codepen.io,2,104.16.147.32;104.16.163.32
codepen.io,3,104.16.147.32;104.16.163.32
codepen.io,4,104.16.147.32;104.16.163.32
codepen.io,5,104.16.147.32;104.16.163.32
codepen.io,6,104.16.163.32;104.16.147.32
codepen.io,7,104.16.147.32;104.16.163.32
codepen.io,8,104.16.163.32;104.16.147.32
codepen.io,9,104.16.163.32;104.16.147.32
codepen.io,10,104.16.163.32;104.16.147.32
codepen.io,11,104.16.147.32;104.16.163.32
codepen.io,12,104.16.163.32;104.16.147.32
codepen.io,13,104.16.147.32;104.16.163.32
codepen.io,14,104.16.147.32;104.16.163.32
codepen.io,15,104.16.163.32;104.16.147.32
codepen.io,16,104.16.147.32;104.16.163.32
codepen.io,17,104.16.163.32;104.16.147.32
codepen.io,18,104.16.163.32;104.16.147.32
codepen.io,19,104.16.147.32;104.16.163.32
codepen.io,20,104.16.163.32;104.16.147.32
