domain,trial,ms
google.com,1,145
google.com,2,145
google.com,3,138
google.com,4,135
google.com,5,139
google.com,6,142
google.com,7,141
chatgpt.com,1,134
chatgpt.com,2,142
chatgpt.com,3,142
chatgpt.com,4,141
chatgpt.com,5,143
chatgpt.com,6,138
chatgpt.com,7,143
cool.ntu.edu.tw,1,144
cool.ntu.edu.tw,2,143
cool.ntu.edu.tw,3,148
cool.ntu.edu.tw,4,149
cool.ntu.edu.tw,5,153
cool.ntu.edu.tw,6,134
cool.ntu.edu.tw,7,146
notion.so,1,134
notion.so,2,137
notion.so,3,140
notion.so,4,155
notion.so,5,140
notion.so,6,137
notion.so,7,138
pdogs.ntu.im,1,140
pdogs.ntu.im,2,151
pdogs.ntu.im,3,136
pdogs.ntu.im,4,217
pdogs.ntu.im,5,145
pdogs.ntu.im,6,147
pdogs.ntu.im,7,147
canva.com,1,140
canva.com,2,147
canva.com,3,139
canva.com,4,145
canva.com,5,143
canva.com,6,140
canva.com,7,150
hackmd.io,1,139
hackmd.io,2,136
hackmd.io,3,139
hackmd.io,4,134
hackmd.io,5,144
hackmd.io,6,151
hackmd.io,7,149
onlinegdb.com,1,173
onlinegdb.com,2,153
onlinegdb.com,3,147
onlinegdb.com,4,141
onlinegdb.com,5,-1
onlinegdb.com,6,154
onlinegdb.com,7,142
youtube.com,1,136
youtube.com,2,139
youtube.com,3,145
youtube.com,4,138
youtube.com,5,149
youtube.com,6,139
youtube.com,7,154
ilovepdf.com,1,150
ilovepdf.com,2,148
ilovepdf.com,3,141
ilovepdf.com,4,146
ilovepdf.com,5,138
ilovepdf.com,6,148
ilovepdf.com,7,140
