hop,ip,hostname,org,country,location,avg_ms
2,140.112.24.253,-,APNIC-ERX-140-109-0-0,AU,Taipei/Taiwan,-1
3,140.112.4.254,wl127.cc.ntu.edu.tw,APNIC-ERX-140-109-0-0,AU,Taipei/Taiwan,-1
4,140.112.0.210,core_serv_0210.cc.ntu.edu.tw,APNIC-ERX-140-109-0-0,AU,Taipei/Taiwan,-1
140.112.0.170,140.112.0.170,core_serv_0170.cc.ntu.edu.tw,APNIC-ERX-140-109-0-0,AU,Taipei/Taiwan,-1
5,140.112.0.206,wan0206.cc.ntu.edu.tw,APNIC-ERX-140-109-0-0,AU,Taipei/Taiwan,-1
6,140.112.0.70,wan_tanet_0070.cc.ntu.edu.tw,APNIC-ERX-140-109-0-0,AU,Taipei/Taiwan,-1
7,192.192.61.82,-,APNIC-ERX-192-192-0-0,AU,Taipei/Taiwan,-1
8,192.192.61.48,-,APNIC-ERX-192-192-0-0,AU,Taipei/Taiwan,-1
9,192.192.68.62,-,APNIC-ERX-192-192-0-0,AU,Taipei/Taiwan,-1
10,203.163.222.39,39-222-163-203-static.tpix.net.tw,CHIEFNET,TW,Taipei/Taiwan,-1
11,104.16.132.229,-,CLOUDFLARENET,US,San Francisco/California,-1
