hop,ip,hostname,org,country,location,avg_ms
2,123.51.152.254,-,NCICNET-NET,TW,Taipei/Taiwan,801.199
3,220.228.20.149,-,NCICNET-TW,TW,Taipei/Taiwan,1096.033
220.228.20.157,220.228.20.157,-,NCICNET-TW,TW,Taipei/Taiwan,836.742
4,192.72.107.189,h189-192-72-107.seed.net.tw,APNIC-ERX-192-72-3-0,AU,Taipei/Taiwan,727.853
5,139.175.57.217,r57-217.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,9.465
139.175.56.141,139.175.56.141,r56-141.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,11.021
139.175.57.185,139.175.57.185,r57-185.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,5.848
6,139.175.59.163,r59-163.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,13.643
139.175.58.202,139.175.58.202,r58-202.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,5.586
139.175.59.163,139.175.59.163,r59-163.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,11.821
7,142.250.172.86,-,GOOGLE,US,Taipei/Taiwan,5.657
139.175.59.217,139.175.59.217,r59-217.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,9.781
8,142.251.224.235,-,GOOGLE,US,Taipei/Taiwan,7.038
142.250.172.86,142.250.172.86,-,GOOGLE,US,Taipei/Taiwan,8.548
142.251.224.235,142.251.224.235,-,GOOGLE,US,Taipei/Taiwan,8.073
9,74.125.242.253,-,GOOGLE,US,Taipei/Taiwan,7.880
209.85.243.197,209.85.243.197,-,GOOGLE,US,Taipei/Taiwan,9.634
209.85.245.65,209.85.245.65,-,GOOGLE,US,New Taipei City/Taipei,8.311
10,209.85.245.65,-,GOOGLE,US,New Taipei City/Taipei,10.137
209.85.243.197,209.85.243.197,-,GOOGLE,US,Taipei/Taiwan,6.901
142.250.66.78,142.250.66.78,hkg12s27-in-f14.1e100.net,GOOGLE,US,Taipei/Taiwan,6.301
