hop,ip,hostname,org,country,location,avg_ms
2,123.51.152.254,-,NCICNET-NET,TW,Taipei/Taiwan,38.901
3,220.228.20.157,-,NCICNET-TW,TW,Taipei/Taiwan,38.154
220.228.20.149,220.228.20.149,-,NCICNET-TW,TW,Taipei/Taiwan,36.188
4,192.72.107.97,h97-192-72-107.seed.net.tw,APNIC-ERX-192-72-3-0,AU,Taipei/Taiwan,69.562
5,139.175.56.141,r56-141.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,205.349
139.175.57.217,139.175.57.217,r57-217.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,317.550
6,139.175.59.161,r59-161.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,319.303
139.175.59.165,139.175.59.165,r59-165.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,192.413
139.175.58.210,139.175.58.210,r58-210.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,27.853
7,192.72.124.29,h29-192-72-124.seed.net.tw,APNIC-ERX-192-72-3-0,AU,Taipei/Taiwan,12.998
192.72.124.107,192.72.124.107,h107-192-72-124.seed.net.tw,APNIC-ERX-192-72-3-0,AU,Taipei/Taiwan,4.487
8,104.18.4.247,-,CLOUDFLARENET,US,San Francisco/California,13.024
