hop,ip,hostname,org,country,location,avg_ms
2,123.51.152.254,-,NCICNET-NET,TW,Taipei/Taiwan,8.700
3,220.228.20.157,-,NCICNET-TW,TW,Taipei/Taiwan,5.799
220.228.20.149,220.228.20.149,-,NCICNET-TW,TW,Taipei/Taiwan,9.880
4,192.72.107.189,h189-192-72-107.seed.net.tw,APNIC-ERX-192-72-3-0,AU,Taipei/Taiwan,12.735
192.72.107.97,192.72.107.97,h97-192-72-107.seed.net.tw,APNIC-ERX-192-72-3-0,AU,Taipei/Taiwan,6.585
192.72.107.189,192.72.107.189,h189-192-72-107.seed.net.tw,APNIC-ERX-192-72-3-0,AU,Taipei/Taiwan,5.589
5,139.175.56.141,r56-141.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,7.672
139.175.57.185,139.175.57.185,r57-185.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,6.026
6,139.175.58.202,r58-202.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,8.155
139.175.59.163,139.175.59.163,r59-163.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,7.132
139.175.59.167,139.175.59.167,r59-167.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,5.625
7,139.175.59.217,r59-217.seed.net.tw,APNIC-ERX-139-175-0-0,AU,Taipei/Taiwan,7.201
8,142.250.172.86,-,GOOGLE,US,Taipei/Taiwan,5.718
35.244.233.98,35.244.233.98,98.233.244.35.bc.googleusercontent.com,GOOGLE-CLOUD,US,Kansas City/Missouri,5.899
142.250.172.86,142.250.172.86,-,GOOGLE,US,Taipei/Taiwan,5.771
